Number,Region,Name,Type 1,Type 2,HP,Attack,Defence,Sp Attack,Sp Defence,Speed,Move 1,Move 2,Move 3,Move 4,Description
1,Kanto,Bulbasaur,Grass,Poison,105,49,49,65,65,45,Tackle,Vine Whip,Growl,,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger. "
2,Kanto,Ivysaur,Grass,Poison,120,62,63,80,80,60,Tackle,Vine Whip,Growl,,"There is a bud on this Pokémon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon. "
3,Kanto,Venusaur,Grass,Poison,140,82,83,100,100,80,Tackle,Vine Whip,Razor Leaf,Growl,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people. 
4,Kanto,Charmander,Fire,,99,52,43,60,50,65,Scratch,Ember,Growl,,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely. "
5,Kanto,Charmeleon,Fire,,118,64,58,80,65,80,Scratch,Ember,Growl,,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color. "
6,Kanto,Charizard,Fire,Flying,138,84,78,109,85,100,Scratch,Ember,Flamethrower,Growl,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself. "
7,Kanto,Squirtle,Water,,104,48,65,50,64,43,Tackle,Bubble,Tail Whip,,"Squirtle's shell is not merely used for protection. The shell's rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds. "
8,Kanto,Wartortle,Water,,119,63,80,65,80,58,Tackle,Bubble,Tail Whip,,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon's toughness as a battler. "
9,Kanto,Blastoise,Water,,139,83,100,85,105,78,Tackle,Bubble,Hydro Pump,Tail Whip,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet. 
10,Kanto,Caterpie,Bug,,105,30,35,20,20,45,Tackle,String Shot,,,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor. "
11,Kanto,Metapod,Bug,,110,20,55,25,25,30,Tackle,String Shot,Harden,,The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell. 
12,Kanto,Butterfree,Bug,Flying,120,45,50,80,80,70,Gust,Confusion,String Shot,Psybeam,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest. "
13,Kanto,Weedle,Bug,Poison,100,35,30,20,20,50,Poison Sting,String Shot,,,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose). 
14,Kanto,Kakuna,Bug,Poison,105,25,50,25,25,35,Poison Sting,String Shot,Harden,,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch. "
15,Kanto,Beedrill,Bug,Poison,125,80,40,45,80,75,Poison Sting,String Shot,Harden,Agility,"Beedrill is extremely territorial. No one should ever approach its nest-this is for their own safety. If angered, they will attack in a furious swarm. "
16,Kanto,Pidgey,Normal,Flying,100,45,40,35,35,56,Tackle,Gust,Sand Attack,,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings. "
17,Kanto,Pidgeotto,Normal,Flying,123,60,55,50,50,71,Tackle,Gust,Wing Attack,,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws. "
18,Kanto,Pidgeot,Normal,Flying,143,80,75,70,70,91,Tackle,Gust,Wing Attack,Agility,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon. "
19,Kanto,Rattata,Normal,,90,56,35,25,35,72,Tackle,Tail Whip,,,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives-it will make its nest anywhere. "
20,Kanto,Raticate,Normal,,115,81,60,50,70,97,Tackle,Tail Whip,Bite,Hyper Fang,"Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses. "
21,Kanto,Spearow,Normal,Flying,100,60,30,31,31,70,Peck,Growl,Leer,,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger. "
22,Kanto,Fearow,Normal,Flying,125,90,65,61,61,100,Peck,Growl,Leer,Drill Peck,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey. 
23,Kanto,Ekans,Poison,,95,60,44,40,54,55,Leer,Poison Sting,,,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head. 
24,Kanto,Arbok,Poison,,120,85,69,65,79,80,Leer,Poison Sting,Bite,Poison Jab,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible. "
25,Kanto,Pikachu,Electric,,95,55,30,50,40,90,Quick Attack,Growl,Thunderbolt,,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up. 
26,Kanto,Raichu,Electric,,120,90,55,90,80,100,Quick Attack,Growl,Thunderbolt,Thunder,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest. "
27,Kanto,Sandshrew,Ground,,110,75,85,20,30,40,Scratch,Defence Curl,Sand Attack,,"Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies. "
28,Kanto,Sandslash,Ground,,135,100,110,45,55,65,Scratch,Defence Curl,Slash,Earthquake,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws. "
